time,id,longitude,lattitude,diameter,pressure,normal_pressure,is_online,on_pipe,coords
0,0,92110.84339,436371.2387,1,104,100,1,12,28992
0,1,92062.79703,436448.6712,1.5,96,100,1,19,28992
0,2,92139.02588,436454.7468,2,99,100,1,16,28992
0,3,92148.62344,436448.8276,1,104,100,1,21,28992
0,4,92151.50189,436449.9093,1,97,100,1,14,28992
0,5,92154.11776,436450.8923,2,95,100,1,13,28992
0,6,92073.95777,436420.7694,1.5,90,100,1,17,28992
0,7,92069.22172,436406.1671,1.5,113,100,1,17,28992
0,8,92082.54751,436400.1265,1.5,104,100,1,15,28992
0,9,92080.39375,436345.4752,1,104,100,1,18,28992
0,10,92146.54553,436383.4084,1,104,100,1,14,28992
0,11,92147.43424,436381.0434,2,101,100,1,13,28992
0,12,92129.12934,436378.1102,1,112,100,1,20,28992
0,13,92130.01078,436375.7647,1.5,93,100,1,15,28992
0,14,92130.74601,436373.8081,2,101,100,1,8,28992
0,15,92135.00831,436362.4657,1,104,100,1,9,28992
0,16,92209.03947,436347.1462,2,99,100,1,8,28992
0,17,92104.04564,436332.0832,1,100,100,1,11,28992
0,18,92116.15108,436325.5407,1,94,100,1,12,28992
0,19,92163.28931,436322.1312,1,96,100,1,11,28992
0,20,92165.59751,436322.9986,2,103,100,1,10,28992
0,21,92169.4782,436324.4569,1,97,100,1,9,28992
0,22,92110.09859,436302.1429,1.5,97,100,1,7,28992
0,23,92112.2674,436296.3715,1.5,98,100,1,7,28992
0,24,92130.19827,436302.8266,1.5,98,100,1,6,28992
0,25,92158.71169,436305.5121,1.5,106,100,1,6,28992
0,26,92202.72943,436331.1104,1,97,100,1,4,28992
0,27,92217.33968,436324.8211,1.5,99,100,1,3,28992
0,28,92232.98589,436303.1488,1.5,98,100,1,3,28992
0,29,92173.45139,436299.3301,1.5,90,100,1,5,28992
0,30,92247.61172,436262.1376,2,104,100,1,1,28992
0,31,92186.87709,436263.603,1.5,95,100,1,5,28992
0,32,92190.56285,436264.988,1,98,100,1,4,28992
0,33,92198.33024,436244.1301,1.5,103,100,1,2,28992
1,0,92110.84339,436371.2387,1,103,100,1,12,28992
1,1,92062.79703,436448.6712,1.5,94,100,1,19,28992
1,2,92139.02588,436454.7468,2,91,100,1,16,28992
1,3,92148.62344,436448.8276,1,100,100,1,21,28992
1,4,92151.50189,436449.9093,1,99,100,1,14,28992
1,5,92154.11776,436450.8923,2,95,100,1,13,28992
1,6,92073.95777,436420.7694,1.5,99,100,1,17,28992
1,7,92069.22172,436406.1671,1.5,99,100,1,17,28992
1,8,92082.54751,436400.1265,1.5,111,100,1,15,28992
1,9,92080.39375,436345.4752,1,105,100,1,18,28992
1,10,92146.54553,436383.4084,1,99,100,1,14,28992
1,11,92147.43424,436381.0434,2,104,100,1,13,28992
1,12,92129.12934,436378.1102,1,97,100,1,20,28992
1,13,92130.01078,436375.7647,1.5,93,100,1,15,28992
1,14,92130.74601,436373.8081,2,96,100,1,8,28992
1,15,92135.00831,436362.4657,1,100,100,1,9,28992
1,16,92209.03947,436347.1462,2,96,100,1,8,28992
1,17,92104.04564,436332.0832,1,107,100,1,11,28992
1,18,92116.15108,436325.5407,1,103,100,1,12,28992
1,19,92163.28931,436322.1312,1,94,100,1,11,28992
1,20,92165.59751,436322.9986,2,101,100,1,10,28992
1,21,92169.4782,436324.4569,1,98,100,1,9,28992
1,22,92110.09859,436302.1429,1.5,106,100,1,7,28992
1,23,92112.2674,436296.3715,1.5,107,100,1,7,28992
1,24,92130.19827,436302.8266,1.5,96,100,1,6,28992
1,25,92158.71169,436305.5121,1.5,98,100,1,6,28992
1,26,92202.72943,436331.1104,1,104,100,1,4,28992
1,27,92217.33968,436324.8211,1.5,99,100,1,3,28992
1,28,92232.98589,436303.1488,1.5,104,100,1,3,28992
1,29,92173.45139,436299.3301,1.5,105,100,1,5,28992
1,30,92247.61172,436262.1376,2,108,100,1,1,28992
1,31,92186.87709,436263.603,1.5,104,100,1,5,28992
1,32,92190.56285,436264.988,1,92,100,1,4,28992
1,33,92198.33024,436244.1301,1.5,99,100,1,2,28992
2,0,92110.84339,436371.2387,1,98,100,1,12,28992
2,1,92062.79703,436448.6712,1.5,96,100,1,19,28992
2,2,92139.02588,436454.7468,2,91,100,1,16,28992
2,3,92148.62344,436448.8276,1,95,100,1,21,28992
2,4,92151.50189,436449.9093,1,94,100,1,14,28992
2,5,92154.11776,436450.8923,2,96,100,1,13,28992
2,6,92073.95777,436420.7694,1.5,100,100,1,17,28992
